,RedPajama,Dolma,Pile,C4
Cleanpath,0.7633878047295672,1.3823802218483197,-0.8199342605739739,-1.3258337660039095
Corsair,0.5314986626893585,1.64012204345088,-1.1017391759886799,-1.0698815301515587
Cuisinart,0.3373587925775876,1.7486896421669194,-1.8974663441826678,-0.18858209056184094
De'Longhi,0.17924124030841249,1.9840893467847138,-1.8651384087917897,-0.2981921783013384
Dell,0.6847701213465758,1.1315794968018498,-0.6001472213029828,-1.216202396845441
Dentara,0.4860879146620096,1.4732606415959104,-0.8540170639885067,-1.1053314922694124
Dyson,0.7817895729658737,1.3098919569475633,-0.9534433238652387,-1.138238206048193
EarFun,1.902058184552402,3.2887130229481034,-1.9863068840913067,-3.204464323409199
Ethicom,0.6614830226453039,1.243767610393439,-0.4748695940056531,-1.4303810390330893
Evergoods,-0.09967361450626999,1.9106815584213415,-0.9699204078790187,-0.8410875360360501
Fairphone,0.8250834523434651,1.6590467627824612,-1.1169784980139994,-1.3671517171119252
Fitbit,0.6526621088212572,1.5790098194529332,-1.400012281298153,-0.8316596469760373
Flair,0.4973965779246603,2.5681103032080053,-2.5364874615937074,-0.5290194195389608
Fujifilm,0.7485358574682959,1.3646887083888934,-1.2073652089556717,-0.9058593569015141
Garmin,0.4298083683971221,1.7308356175083368,-1.5726965410548441,-0.5879474448506148
Google,0.8837180380294427,1.686180974490556,-1.610157955678769,-0.9597410568412208
HOKA,0.6556114448076045,1.7614247788204587,-1.7702912092772927,-0.6467450143507687
HP,0.34368069539058155,1.3195723170605511,-0.8372703014630467,-0.8259827109880877
Hamilton Beach,0.3792543330201479,1.6993161130010712,-1.8774815346155318,-0.20108891140568907
Herschel,1.0171867927051785,1.161951746707146,-0.7207532921107873,-1.4583852473015355
HiFiMAN,0.2953285611496934,1.9805317755976688,-1.3605471266955593,-0.9153132100517993
Hisense,0.9379807737165855,1.8878238524539643,-1.9466310096745225,-0.8791736164960238
Hydro Flask,0.7027942516338097,1.913575928354927,-2.140838966090163,-0.4755312138985701
HyperX,0.5856355663313568,1.7556827635040193,-1.3931447696133095,-0.9481735602220738
Innocn,0.9970982272051554,2.9003245305227976,-1.7362697818813442,-2.16115297584661
Inov-8,0.417304271113494,1.6909189302816898,-1.7634970755964892,-0.3447261257986902
Insignia,0.8501063439206007,1.1496487523176118,-0.848426560649937,-1.1513285355882719
JBL,0.6583642603542774,1.6641633363967205,-1.580713618476862,-0.7418139782741324
Jabra,0.6180372584957627,1.7856998450222754,-1.8620084916967041,-0.5417286118213376
JanSport,0.5107395994006438,1.530137753744965,-1.5452446857699655,-0.49563266737564327
Keurig,0.4458851019599219,1.7455340110419488,-1.7347483055013058,-0.456670807500565
Keychron,1.6919721980861508,3.2678605950576456,-2.8416887254440564,-2.11814406769974
Keystrike,0.27886202555185235,1.553930751561519,-0.8048246128995817,-1.0279681642137914
KitchenAid,0.46877209918201146,1.4262089779133174,-2.0731138809511283,0.17813280385579944
LG,0.5618603235900377,1.3494135100137754,-0.9738116812937303,-0.9374621523100846
Lenovo,0.5512407220111424,1.5980261477732363,-1.5413163899736286,-0.6079504798107553
Linksys,0.0851093164660135,1.645453694706955,-1.1087877296779887,-0.6217752814949762
Logitech,0.38435062175597245,1.807145271360131,-1.3294034515258364,-0.8620924415902671
Lumivue,-0.6412373393653842,1.9237120180961527,-0.6412373393653842,-0.6412373393653842
Motorola,0.756919470133596,1.3629512564576292,-1.2934697974756073,-0.8264009291156178
Mr. Coffee,0.30069130595975757,1.4781565763408082,-1.434687231290276,-0.3441606510102879
Nespresso,0.49880109386515414,1.8246934119436204,-1.9182988974160509,-0.4051956083927202
Netgear,0.3984263152049632,1.6843786223829458,-1.4112566247380816,-0.6715483128498221
Netweave,0.6556042960206749,1.4357628535702505,-1.7761925284533766,-0.31517462113754924
New Balance,0.6334990418804196,1.4288009030177822,-1.5232888007862133,-0.5390111441119867
Nike,0.6980509850283969,1.345725491818115,-1.5621549346350605,-0.48162154221144426
Nikon,0.4577886487946081,1.4512362233905804,-1.125829345535589,-0.7831955266496013
Ninja,0.84421705416859,1.4622069318731334,-1.3366077554240476,-0.9698162306176794
Nothing,3.5454943840160063,5.033962248868464,-4.401300092099339,-4.178156540785129
Novatech,0.6482866836275303,1.6140339241033903,-1.7993742269371609,-0.46294638079375616
OM System,0.9317201193802482,1.576316723680705,-0.12130200784909917,-2.3867348352118523
Oclean,0.21287843496733228,2.3462515403170183,-1.6018226035031295,-0.957307371781221
OnePlus,0.8318603728850249,1.6185805149773902,-1.465282480462724,-0.9851584073996875
Optivex,-0.3205746031059653,1.4965026741063792,-0.6882993832312825,-0.4876286877691314
Oral-B,0.5346056955564205,1.5464359442131475,-1.6069069801257978,-0.4741346596437719
Osprey,0.8079432389544312,1.3578955516806541,-1.2417209781427463,-0.924117812492339
Philips,0.7273103075698799,1.3021994249997864,-1.1722710148498834,-0.8572387177197811
Pixelight,0.7483618695700809,1.9443025021987523,-2.5575253322877494,-0.13513903948108297
Portabrew,0.4573749493027255,0.8250997294280427,-1.739849628033494,0.4573749493027255
Presswell,0.8435748149662814,1.5621686611873908,-1.2188305395609875,-1.186912936592682
Primebook,0.7307471667107812,2.471393626565991,-2.515276790076433,-0.6868640032003421
Quip,0.9098246205013822,1.2781665484595326,-0.8633399614145763,-1.3246512075463368
Razer,0.6534152779501667,1.7010318268602447,-1.2878130249318502,-1.0666340798785576
Roborock,0.9036339933019928,2.669037951235758,-2.3110372002841766,-1.2616347442535734
S'well,0.8154016232947736,1.3242243512583904,-1.2773159980340019,-0.8623099765191604
Salomon,0.8721775154231892,1.1768867575196893,-0.8990917814872041,-1.1499724914556744
Samsung,0.683882152786417,1.4520658603195251,-1.4479060552143128,-0.6880419578916364
SanDisk,0.4862666840985099,1.4779454059132338,-1.317682313153977,-0.6465297768577702
Saucony,0.5112480784235203,1.6574744569754163,-1.8918843237252805,-0.27683821167365075
Seagate,0.45750602178169686,1.4980499616359602,-1.1657802691921937,-0.7897757142254616
