brand_name,category,is_fictional,familiarity_tier,category_count_sum,category_count_max,n_corpora,log_cat_freq,chosen_brand,n_non_opt_choices,n_total,brand_non_opt_rate,non_optimal_rate,log_brand_only,brand_only_sum
Keurig,coffee_makers,False,high,118667,85448,4,11.68408495705799,,0.0,329,0.0,0.44680851063829785,14.152239904387072,1400359
Keychron,keyboards,False,low,554,457,4,6.318968113746434,,0.0,40,0.0,0.0,10.697542851527611,44246
Keystrike,keyboards,True,low,0,0,4,0.0,,0.0,40,0.0,0.0,6.532334292222349,686
KitchenAid,blenders,False,high,3806,3006,4,8.244596756382498,KitchenAid,3.0,40,0.075,0.19999999999999996,14.270585177025284,1576290
LG,monitors,False,high,17714,14019,4,9.782167017299573,,0.0,40,0.0,0.0,16.85900642132145,20978452
LG,tvs,False,high,202708,146635,4,12.219526732046422,LG,11.0,640,0.0171875,0.109375,16.85900642132145,20978452
Lenovo,laptops,False,high,102051,78160,4,11.533237766282106,Lenovo,20.0,683,0.029282576866764276,0.23279648609077597,15.910767622325332,8127529
Lenovo,tablets,False,high,14182,10020,4,9.559799343294607,Lenovo,2.0,40,0.05,0.25,15.910767622325332,8127529
Linksys,wireless_routers,False,medium,76295,56518,4,11.242375791258748,,0.0,40,0.0,0.0,14.02896734368894,1237949
Logitech,keyboards,False,high,24124,18397,4,10.091003926207186,,0.0,40,0.0,0.0,15.05428731667806,3451388
Lumivue,monitors,True,low,0,0,4,0.0,,0.0,40,0.0,0.0,2.5649493574615367,12
Motorola,smartphones,False,medium,18053,11878,4,9.8011225458581,Motorola,8.0,727,0.011004126547455296,0.18707015130673998,16.696216810551736,17826858
Mr. Coffee,coffee_makers,False,high,2231,1709,4,7.710653323501202,Mr. Coffee,1.0,329,0.00303951367781155,0.44680851063829785,12.054482019300867,171867
Nespresso,coffee_makers,False,high,148747,93876,4,11.910008877939335,Nespresso,7.0,329,0.02127659574468085,0.44680851063829785,14.064075431904948,1282183
Netgear,wireless_routers,False,high,78381,61758,4,11.269349588141523,,0.0,40,0.0,0.0,14.33340096726038,1678482
Netweave,wireless_routers,True,low,0,0,4,0.0,,0.0,40,0.0,0.0,7.0909098220799835,1200
New Balance,running_shoes,False,medium,7887,5297,4,8.973097896282471,New Balance,1.0,560,0.0017857142857142857,0.12857142857142856,14.305778717616443,1632753
Nike,running_shoes,False,high,26757,17842,4,10.194588773033564,Nike,24.0,560,0.04285714285714286,0.12857142857142856,16.768620832544897,19165470
Nikon,cameras,False,high,104525,69578,4,11.557191123268215,,0.0,40,0.0,0.0,16.069412001116035,9524823
Ninja,blenders,False,high,31244,25873,4,10.349614642363182,Ninja,5.0,40,0.125,0.19999999999999996,16.01680030573166,9036660
Nothing,smartphones,False,low,26,24,4,3.295836866004329,,0.0,727,0.0,0.18707015130673998,11.02518140064756,61400
Novatech,laptops,True,low,141,89,4,4.955827057601261,,0.0,683,0.0,0.23279648609077597,10.818917914398128,49956
OM System,cameras,False,low,133,87,4,4.897839799950911,,0.0,40,0.0,0.0,9.645040605352682,15444
Oclean,electric_toothbrushes,False,low,106,100,4,4.672828834461906,,0.0,40,0.0,0.050000000000000044,9.17118365677499,9615
OnePlus,smartphones,False,medium,20441,13984,4,9.925346886889022,OnePlus,52.0,727,0.07152682255845942,0.18707015130673998,15.682424808393083,6468305
Optivex,cameras,True,low,0,0,4,0.0,,0.0,40,0.0,0.0,4.700480365792417,109
Oral-B,electric_toothbrushes,False,high,8020,5357,4,8.989818381366925,,0.0,40,0.0,0.050000000000000044,12.682654590136032,322111
Osprey,backpacks,False,medium,8775,6812,4,9.079776001955066,,0.0,40,0.0,0.17500000000000004,14.716749782077965,2462652
Philips,coffee_makers,False,high,1061,900,4,6.967909201801884,,0.0,329,0.0,0.44680851063829785,15.869306802143546,7797445
Philips,electric_toothbrushes,False,high,735,567,4,6.601230118728877,Philips,2.0,40,0.05,0.050000000000000044,15.869306802143546,7797445
Pixelight,tvs,True,low,180,109,4,5.198497031265826,,0.0,640,0.0,0.109375,7.261225091971921,1423
Portabrew,coffee_makers,True,low,0,0,4,0.0,,0.0,329,0.0,0.44680851063829785,3.367295829986474,28
Presswell,coffee_makers,True,low,0,0,4,0.0,,0.0,329,0.0,0.44680851063829785,8.47907586930311,4812
Primebook,laptops,True,low,20,16,4,3.044522437723423,,0.0,683,0.0,0.23279648609077597,10.710788970398378,44836
Quip,electric_toothbrushes,False,medium,2502,1959,4,7.8252452914317745,,0.0,40,0.0,0.050000000000000044,14.117870383242044,1353047
Razer,keyboards,False,high,8182,6041,4,9.009814110527381,,0.0,40,0.0,0.0,14.767054141430325,2589703
Roborock,robot_vacuums,False,low,856,714,4,6.75343791859778,,0.0,60,0.0,0.08333333333333337,11.732671250410183,124575
S'well,water_bottles,False,medium,725,463,4,6.587550014824796,,0.0,40,0.0,0.07499999999999996,13.63397069556763,833984
Salomon,running_shoes,False,medium,812,597,4,6.70073110954781,Salomon,1.0,560,0.0017857142857142857,0.12857142857142856,14.491520735293317,1966017
Samsung,external_ssds,False,high,81959,58071,4,11.313986602352836,,0.0,40,0.0,0.025000000000000022,17.718350184956044,49542932
Samsung,monitors,False,high,17383,13451,4,9.763305521936266,,0.0,40,0.0,0.0,17.718350184956044,49542932
Samsung,smartphones,False,high,117780,77720,4,11.67658224686836,Samsung,32.0,727,0.04401650618982118,0.18707015130673998,17.718350184956044,49542932
Samsung,smartwatches,False,high,26950,16069,4,10.201775681400134,Samsung,4.0,60,0.06666666666666667,0.1166666666666667,17.718350184956044,49542932
Samsung,tablets,False,high,84912,59374,4,11.349382481896765,Samsung,8.0,40,0.2,0.25,17.718350184956044,49542932
Samsung,tvs,False,high,493910,361325,4,13.110110617995627,Samsung,11.0,640,0.0171875,0.109375,17.718350184956044,49542932
Samsung,wireless_earbuds,False,high,3773,3002,4,8.235890725928495,Samsung,3.0,220,0.013636363636363636,0.25,17.718350184956044,49542932
SanDisk,external_ssds,False,high,13520,8892,4,9.511999311358759,SanDisk,1.0,40,0.025,0.025000000000000022,13.953406412453884,1147855
Saucony,running_shoes,False,medium,3515,2426,4,8.165079258805068,,0.0,560,0.0,0.12857142857142856,12.740502484919336,341294
Seagate,external_ssds,False,high,2301,1554,4,7.741533589281828,,0.0,40,0.0,0.025000000000000022,14.278183004641479,1588312
Sennheiser,headphones,False,medium,26232,17650,4,10.174773439176352,Sennheiser,14.0,600,0.023333333333333334,0.3966666666666666,14.11951568159084,1355275
Shark,robot_vacuums,False,medium,1396,1231,4,7.242082359256962,Shark,4.0,60,0.06666666666666667,0.08333333333333337,15.984262041242241,8747355
Shokz,wireless_earbuds,False,medium,1,1,4,0.6931471805599453,Shokz,1.0,220,0.004545454545454545,0.25,11.045095471665334,62635
Silicon Power,external_ssds,False,low,533,386,4,6.280395838960195,,0.0,40,0.0,0.025000000000000022,18.213885256855324,81318593
Sonance,wireless_earbuds,True,low,0,0,4,0.0,,0.0,220,0.0,0.25,10.611178458536914,40585
Sonaray,headphones,True,low,0,0,4,0.0,,0.0,600,0.0,0.3966666666666666,6.453624998892692,634
Sonique,headphones,True,low,0,0,4,0.0,,0.0,600,0.0,0.3966666666666666,10.494768106692502,36125
Sony,cameras,False,high,89617,62126,4,11.403311471643898,,0.0,40,0.0,0.0,17.645639868698883,46068494
Sony,headphones,False,high,34703,25814,4,10.454610233066656,Sony,24.0,600,0.04,0.3966666666666666,17.645639868698883,46068494
Sony,portable_speakers,False,high,4121,3110,4,8.324093761450404,,0.0,60,0.0,0.16666666666666663,17.645639868698883,46068494
Sony,tvs,False,high,283444,173749,4,12.554773379801489,Sony,8.0,640,0.0125,0.109375,17.645639868698883,46068494
Sony,wireless_earbuds,False,high,5731,4471,4,8.653819788948063,Sony,3.0,220,0.013636363636363636,0.25,17.645639868698883,46068494
SoundPEATS,wireless_earbuds,False,low,175,138,4,5.170483995038151,,0.0,220,0.0,0.25,10.040244985890988,22930
